id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
DG,food,C,Exponential,0.24131688153731423,0.9922895227365476,19.80433137870996,0.9461347222222222,0.0005166912073392458
BD,music,F,Exponential,0.4830203219243462,0.46718479642335703,37.57241988321112,0.8503707430340557,0.05930807176737913
CM,food,C,Exponential,0.3801982418112188,0.171967160910037,30.062557293074846,0.9103827110389612,0.19324930265689508
LS,food,F,Exponential,0.40023025971184933,0.9006971752032102,31.606104954084252,0.9027938311688312,0.007098330961394262
LS,money,F,Exponential,0.38648775849999795,0.9399399363433671,31.320684253877996,0.9118595920138888,0.004172812460254077
SG,food,C,Exponential,,0.9982059368054844,1.7071831846903254,,0.00011974747915167814
ZZ,food,F,Exponential,0.41127486163276195,0.02803912338605568,31.679858491634793,0.9113240384615384,1.1893215515825926
MH,music,F,Exponential,0.4121903738271083,0.4134200180132718,34.204376020460955,0.9050073529411765,0.07106553665587756
JDA,money,C,Exponential,0.2273902927809139,0.8645151255756054,17.273929276180308,0.9678939636752134,0.009953251445694799
MK,money,F,Exponential,0.5078385818601641,0.9560836072423127,39.469411169075876,0.8195026041666668,0.0030167448016895407
CC,money,C,Exponential,0.3707505338056517,0.5540495663863831,29.172814496053885,0.9031246093749997,0.0441761245821739
GW,music,C,Exponential,0.3244705055158239,0.866796098950271,26.103492530963493,0.9329073996655518,0.009768490595882846
AH,money,F,Exponential,0.27053683627096087,0.9706895568353957,22.052718495622944,0.9547086038961042,0.0019931700481102834
MH,money,C,Exponential,0.37415185182873545,0.6051656728854931,31.20491381651871,0.9269452399380802,0.03684322646387493
EM,money,F,Exponential,0.3214481803460919,0.9965911642143441,26.514398469256484,0.7708095703125,0.00022777364333632116
ND,money,F,Exponential,0.3135845591557834,0.9565000961712724,26.017548784514375,0.941528010033445,0.002987267406435777
SA,money,F,Exponential,0.4514578153121509,0.11460473074751122,38.899982415974506,0.8850294732441473,0.29081490218267625
GA,food,F,Exponential,0.31606930030983416,0.14312778293530015,25.308619545159587,0.9403786525974027,0.23267934004855031
SD,money,F,Exponential,0.27953987273414893,0.7839982848109883,23.014046110039263,0.9413754058441559,0.016939024525290128
RD,money,F,Exponential,0.5008577430974347,0.864378839460918,39.46117892092389,0.8495535714285714,0.00996431183919918
AD,music,C,Exponential,0.2784235553308182,0.8676480397054336,23.565734862109615,0.9538098620129872,0.009699653033228053
CV,food,F,Exponential,0.3726515458855494,0.1211908864288316,29.616908369803628,0.9176695234113715,0.27498255126920745
CM,food,F,Exponential,0.36292447748926693,0.09237744517535537,28.59263509123665,0.9156049331103677,0.36084541629995953
