id,food C,food F,money C,money F,music C,music F
EM,-5.879759654713262,0.20242746218900204,-8.471220033204563,-8.37919776420655,-3.676277003884784,-3.670367596753876
ER,-8.975417885150893,-3.3039904814784533,-8.549625861248531,-2.680127931109593,-7.546924456368785,-2.514975192482293
FD,1.443381245242105,-1.6909407233230749,-2.32153823632069,-2.08443432071979,-2.4755485271006927,-1.2945538536019083
GA,-2.452841200841908,-1.0672779289376877,-4.658844447332927,-4.754593426915576,-3.0927623940659488,-3.0586254996496174
GW,-4.923556607530673,-2.042305221185552,-4.311896575519222,-3.622576318803645,-4.242577115769194,-5.0144272924137905
JB,-7.166709107974159,2.2205751386621206,-8.771621156392369,-7.394571973062749,1.9588371433798304,0.5571497484825482
JD,-2.346979573817165,2.1543732170831857,-3.864426437374628,-3.849903358634747,-3.6882572944325567,-3.6234337169570265
JDA,-2.4405829982379164,-2.046240061390338,-4.245258964345773,-1.9964431664753808,-3.822876635388078,-2.464808036856172
JL,-7.0940751207322315,-1.0913774948086197,-6.641557809207628,-4.361437212243159,-7.041285844942268,-5.402881998151707
JLN,-2.147585421547981,-1.2433902646328774,-2.3544197594929117,-2.855869695802005,-2.3043346926185277,-1.87870273250264
JSL,-2.499588550107759,-0.5897000797647778,-2.35285678147582,-3.980850686293828,-2.9226394359971244,-2.348855237520788
KM,-4.773030254335562,-0.8367965135252128,-4.4452672561283,-4.281109881893877,-3.577390041732257,-3.7101598205507984
LD,-5.251780378217997,-0.676028518051306,-3.978257082432296,-5.540505573737234,-5.424463807005159,-5.635536629909617
LG,-3.2841843226370284,-1.827297144610175,-2.8766654206884334,-2.0694981652580373,-2.937101259527372,-2.6213038028899063
LS,-4.42343226121386,-4.58079849436708,-5.256609895506039,-5.152952222048709,-5.336525927171249,-5.369979006785934
MH,-2.534213273548063,-2.328879970395091,-3.006357294178081,-2.307093183459231,-2.3813155665925567,-2.335457130693769
MK,-3.1710168494241886,-1.8946863870274,-6.686159540360491,-5.504370300396763,-5.008928816305966,-4.175569681752875
ND,-2.8957221724946236,0.5559356071813673,-5.490102932427275,-5.457340911346314,-3.036667321388132,-2.5045717398412624
NG,-5.193341960198339,1.883389257639736,-6.702145098352884,-2.5206636141930603,-3.0963639853643614,-1.4424743350922535
PF,-5.0486726488170515,-5.421277786840998,-4.875823445229631,-4.964178017224687,-4.64204690661126,-5.6583359785278455
RD,-1.943570518684552,0.14168616429246453,-5.077817064902838,-4.327041706746636,-5.0792045569340285,-3.9821888234459055
RR,-1.4030432063375289,0.5301146422134465,-3.3896726526663796,-4.152405391955496,-4.208034163907727,-1.7662404936302725
RV,-5.578517106603132,2.1053498990251027,-3.81162363773982,-3.801977652082783,-1.581021901079371,-2.7318414847581933
SA,-2.2191230532559008,-1.666289156705299,-1.0989880443130855,-0.9401451453133932,-2.7017775679765617,-1.3060833778683938
SD,-5.725244532886527,-1.2044184790901786,-5.415788381897356,-3.694632405572341,-4.79861658490639,-1.4268353260485451
SE,-4.926250921886964,1.1050801679912858,-1.1616209092884051,-1.0194711093728357,-6.106530345017755,-0.7934075184338046
SG,-8.993224625766588,-8.947499620584903,-2.4146768700212378,-0.5307712811860421,-9.674385592707935,-9.29857187322675
SP,-4.803819591911837,-0.7939136438643352,-1.524171752502014,-0.8026589255066368,-1.4242797222769208,-1.312619230707707
