id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
BD,music,F,Hyperbolic,0.4788219559897847,0.5072087078526248,37.0771434799456,0.8484075077399384,-2.51322043626537
CM,food,C,Hyperbolic,0.40572707645121886,0.26663873883637523,31.869460715989725,0.8995734577922078,-1.2722472484893312
LS,food,F,Hyperbolic,0.4206945668883367,0.8719593448839074,33.21548533725294,0.8918400974025973,-4.58079849436708
LS,money,F,Hyperbolic,0.45406895973385863,0.922149222333926,35.20371907232296,0.8655473090277779,-5.152952222048709
SG,food,C,Hyperbolic,,0.9981408865683816,1.8405587846370504,,-8.993224625766587
ZZ,food,F,Hyperbolic,0.34354722929732195,0.05227267388515679,28.316637238321448,0.9136091346153847,1.0453804374492717
MH,music,F,Hyperbolic,0.41088978839982127,0.4690840039654626,34.25929726381188,0.9036402863777089,-2.3354571306937695
JDA,money,C,Hyperbolic,0.2830079644699973,0.8318132318101881,19.83724146899668,0.9629273504273501,-4.245258964345773
MK,money,F,Hyperbolic,0.5026965643648784,0.943518253859055,38.84634991575432,0.8153793402777777,-5.504370300396764
CC,money,C,Hyperbolic,0.421602845582548,0.5491648483672316,32.75056018651208,0.899365625,-2.707393220038372
GW,music,C,Hyperbolic,0.3224868827920211,0.8314576256558677,26.003972072340385,0.9301720317725751,-4.242577115769194
AH,money,F,Hyperbolic,0.2676225701305685,0.9602324173351777,21.61400533482555,0.9577922077922079,-5.878647384664464
MH,money,C,Hyperbolic,0.3678347200013041,0.6130996409582824,29.422226334825478,0.9184949690402475,-3.006357294178081
EM,money,F,Hyperbolic,0.3226014132561945,0.9965718219130824,26.2744814616044,0.7727548828125,-8.37919776420655
ND,money,F,Hyperbolic,0.3638969619340583,0.941008368647832,29.095887305416397,0.9211739130434781,-5.457340911346313
SA,money,F,Hyperbolic,0.4492266425171067,0.21703224049009984,37.305711956053386,0.8823453177257526,-0.9401451453133932
GA,food,F,Hyperbolic,0.35513298235584506,0.235160402183081,27.932952984878455,0.9271668019480521,-1.0672779289376877
SD,money,F,Hyperbolic,0.38033265972168273,0.7471585783651268,30.689335957997653,0.9168887987012988,-3.694632405572341
RD,money,F,Hyperbolic,0.4997459231245428,0.8423894372177784,38.848917193124365,0.839971996753247,-4.327041706746636
AD,music,C,Hyperbolic,0.3146197254534169,0.8340311493341901,25.45717428838501,0.9515186688311692,-4.262081866994866
CV,food,F,Hyperbolic,0.2859811655091623,0.21229296894398436,24.657488334035857,0.9380564381270904,-0.9056156380877044
