id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
JB,food,F,ModifiedRachlin,0.34080420265175415,0.011719540855488042,27.50512039901919,0.9170781249999999,2.2009383476431013,1.2726911012209108
CF,food,F,ModifiedRachlin,0.45089323633214823,0.24453465241033484,35.097200282512404,0.860024247491639,-0.9767952192202878,0.8750411876673279
LG,food,F,ModifiedRachlin,0.3691746475487586,0.359938312897562,29.49446013100109,0.9146027343750002,-1.8291424837108348,1.0504528985019423
JDA,food,C,ModifiedRachlin,0.7453800575941998,0.516832154636701,48.38057366375228,0.5668728632478632,-2.6280076492179205,0.32354110428486554
VB,money,C,ModifiedRachlin,0.10978051561202837,0.8631820490374946,10.988665011284931,0.9934476461038962,-9.461099734733054,0.2641706812889781
DCRD,music,C,ModifiedRachlin,0.1042458571412706,0.9712528943192474,10.170526943506765,0.9932146634615384,-7.20290957517751,0.7734140301719024
PF,food,F,ModifiedRachlin,0.4075090640399881,0.9221613392236658,32.4949973097026,0.8978821428571431,-5.456926418332953,0.8834596008579534
ER,money,F,ModifiedRachlin,0.40059683236137544,0.47784237701803245,32.1037457794234,0.8914330495356036,-2.19664273507085,0.4069193096611465
JLN,money,C,ModifiedRachlin,0.37649707986941594,0.46180114334994365,30.689117903245336,0.9134392414860679,-2.351263575724888,1.2547566182691052
DN,money,F,ModifiedRachlin,,0.9995101453212663,1.9073133417754284,,-9.503448028900667,1.125291763111388
JLN,music,F,ModifiedRachlin,0.4009662278324307,0.3963522012051829,31.6020114061831,0.901678515625,-1.8938637610154465,0.834516534635632
CV,money,F,ModifiedRachlin,0.13812343379620512,0.9875593384783994,12.739010709584582,0.9893728365384615,-7.749005882598834,0.862284039423044
CV,music,F,ModifiedRachlin,0.09464227519177502,0.9663924166226325,9.13270675172118,0.9944720454545453,-8.923778450965374,0.5303091916803733
AT,music,F,ModifiedRachlin,0.2647793744950675,0.04931150382671563,21.543250747675224,0.9548186363636362,0.7250076866171669,1.198480269902851
DG,music,F,ModifiedRachlin,0.1556719006984415,0.35438597454965637,15.024583555573349,0.9875103515625001,-2.0041960317742147,1.568974000890053
CL,money,C,ModifiedRachlin,0.22719280768188055,0.6111965065070274,20.941865379624538,0.9705493311036789,-4.744156759318605,0.19497240533470747
LG,food,C,ModifiedRachlin,0.3963064249447408,0.6792433460941478,32.57019105928244,0.9079655572755417,-3.2887641072311045,1.0736105087511705
VS,food,C,ModifiedRachlin,0.4546357824594106,0.481295138770395,35.06116824383167,0.8685519841269845,-2.2583498806644102,0.4619501105962421
DG,food,F,ModifiedRachlin,0.36477898198741365,0.5375253787445698,29.004451385012388,0.9167075396825398,-2.6482265442981823,1.2655815001987383
RR,music,C,ModifiedRachlin,0.35388067171932625,0.7644529093486598,29.14071987105011,0.9163425324675325,-4.1602417733105685,0.7422391302912331
CM,music,C,ModifiedRachlin,0.4060913507812758,0.3642331133050255,33.01666566365155,0.8847573051948052,-1.4012194911817537,0.5752230940688319
SP,music,F,ModifiedRachlin,0.44141898077923764,0.38028383133127663,35.049420337104735,0.8732623015873019,-1.3268069546867782,0.46504151163976387
BD,money,F,ModifiedRachlin,0.34178891062145533,0.5625532479017241,27.446591651015876,0.9304144736842105,-2.743593330525999,1.2866166257014302
NG,music,F,ModifiedRachlin,0.40946496671234167,0.41048070441579565,32.43333070237587,0.8831408730158732,-1.4843057905074275,0.4002467900407432
