id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
JDA,music,C,Hyperboloid,0.3564818636856376,0.6825433678189095,26.92642955648691,0.9235863970588232,-3.0402288627665897,0.7880913235217266
DG,food,C,Hyperboloid,0.22251942495648178,0.964197993355095,18.32739972807925,0.9545298611111113,-4.609089500159112,0.2687547967281237
BD,music,F,Hyperboloid,0.4815277662427636,0.4449335127223126,37.48341326718544,0.8493494582043346,-2.2172094566096625,0.9973785683967542
CM,food,C,Hyperboloid,0.40103605544483306,0.21993893869239228,31.313943650266662,0.9004833603896103,-1.6353184496731816,1.451225597646019
LS,food,F,Hyperboloid,0.42622418721635663,0.8382502252267894,33.892943302122426,0.8888603896103896,-4.335327490236917,1.037229702583151
LS,money,F,Hyperboloid,0.4386467525041562,0.9213031815922172,34.47871304692605,0.8716128472222222,-5.547672709251747,1.4757126611925744
SG,food,C,Hyperboloid,,0.9945154768786293,1.6854009987073078,,-6.32710233040766,0.20897067846881037
ZZ,food,F,Hyperboloid,0.3479891298887182,0.03472131294016575,28.67713520006876,0.9131536057692307,0.9248007636463909,1.2551423902853311
MH,music,F,Hyperboloid,0.416015824614942,0.4185527055247584,35.66519369393881,0.9009334365325078,-2.3658215212223332,1.1949210515000859
JDA,money,C,Hyperboloid,0.26895587097688267,0.8281178947344752,19.031183775643818,0.9586207264957263,-4.633818143730054,1.457596596536715
MK,money,F,Hyperboloid,0.4980325344368407,0.8651745260738408,38.63908055278772,0.8187977430555555,-3.756139063204953,0.5115105244315141
CC,money,C,Hyperboloid,0.40756468060667084,0.5257289421463749,31.731466386378543,0.8993863281250001,-3.171867093022416,1.5306453718475217
GW,music,C,Hyperboloid,0.3270145248549327,0.796906748492519,26.78080835069773,0.9307853260869563,-4.019551144624907,1.017538619033136
AH,money,F,Hyperboloid,0.2757608714076228,0.9455018035295992,22.628822325961533,0.9544025974025974,-5.406198376714729,0.8768031736506582
MH,money,C,Hyperboloid,0.37298973245274925,0.5641735242746173,30.318333719488415,0.9154113777089784,-2.8802520298982417,1.078573754375857
EM,money,F,Hyperboloid,0.3189343731313832,0.9900978398272262,25.818439825503916,0.776080078125,-5.936430367418945,0.2581315148925423
ND,money,F,Hyperboloid,0.3639808741469505,0.9337534387849667,29.23441234168872,0.9186688963210702,-5.568353978612742,1.2560908279435703
SA,money,F,Hyperboloid,0.4484425438130654,0.16951787839990726,37.3286726192758,0.8812564799331105,-0.9661730658889289,1.2194177529101666
GA,food,F,Hyperboloid,0.3469114224356474,0.18809982405075584,27.411884218415402,0.9269310064935067,-1.5238997063031152,1.5402454251932192
SD,money,F,Hyperboloid,0.3498827457729504,0.744254713077569,28.62003986875515,0.9244403409090909,-4.28782613802026,1.6973693641347507
RD,money,F,Hyperboloid,0.5037395896833047,0.7762374249779807,39.48792340212868,0.8372637987012987,-3.6609347085773325,0.8398477823695234
AD,music,C,Hyperboloid,0.31372446598603754,0.8232283423721372,25.77522037169362,0.9459833603896105,-4.502286749045852,1.334016159922453
CV,food,F,Hyperboloid,0.26681434486906264,0.18629559369302673,22.801916123516047,0.9462773829431438,-0.14211931373106007,0.7793474196157528
CM,food,F,Hyperboloid,0.39275736935734823,0.1337197341664281,30.637476325481515,0.8972307692307693,-1.151249386359902,1.5923585950356247
